source,task,command,expected,actual,method,detail
gold,wg-add-peer,"/interface/wireguard/peers add interface=wg0 public-key=""REPLACE_PUBKEY="" allowed-address=10.10.0.2/32",ok,ok,chr:inspect,path ok (interface/wireguard/peers verb=add)
gold,iface-create-bridge,/interface/bridge add name=bridge1,ok,ok,chr:inspect,path ok (interface/bridge verb=add)
gold,iface-add-bridge-port,/interface/bridge/port add bridge=bridge1 interface=ether2,ok,ok,chr:inspect,path ok (interface/bridge/port verb=add)
gold,iface-disable,/interface/disable [find name=ether5],ok,ok,chr:inspect,path ok (interface verb=disable)
gold,iface-set-mtu,/interface/ethernet set [find name=ether1] mtu=9000,ok,ok,chr:inspect,path ok (interface/ethernet verb=set)
gold,wifi-set-ssid,/interface/wifi set [find name=wifi1] ssid=MyNet,ok,ok,chr:inspect,path ok (interface/wifi verb=set)
gold,queue-simple-limit,/queue/simple add name=limit-host target=192.168.88.50/32 max-limit=10M/10M,ok,ok,chr:inspect,path ok (queue/simple verb=add)
gold,user-add-readonly,"/user add name=auditor group=read password=""REPLACE_PW""",ok,ok,chr:inspect,path ok (user verb=add)
gold,user-disable,/user disable [find name=olduser],ok,ok,chr:inspect,path ok (user verb=disable)
gold,backup-create,/system/backup/save name=pre-change,ok,ok,chr:inspect,path ok (system/backup verb=save)
gold,export-config,/export file=full-config,ok,ok,chr:inspect,path ok ( verb=export)
gold,identity-set,/system/identity set name=core-router,ok,ok,chr:inspect,path ok (system/identity verb=set)
gold,ntp-client-enable,/system/ntp/client set enabled=yes servers=pool.ntp.org,ok,ok,chr:inspect,path ok (system/ntp/client verb=set)
gold,logs-read-recent,/log/print,ok,ok,chr:inspect,path ok (log verb=print)
gold,read-interfaces,/interface/print,ok,ok,chr:inspect,path ok (interface verb=print)
gold,read-ip-addresses,/ip/address/print,ok,ok,chr:inspect,path ok (ip/address verb=print)
gold,read-routes,/ip/route/print,ok,ok,chr:inspect,path ok (ip/route verb=print)
gold,read-firewall-filter,/ip/firewall/filter/print,ok,ok,chr:inspect,path ok (ip/firewall/filter verb=print)
gold,read-dhcp-leases,/ip/dhcp-server/lease/print,ok,ok,chr:inspect,path ok (ip/dhcp-server/lease verb=print)
gold,fw-default-drop-input-last,/ip/firewall/filter add chain=input action=drop,ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
forbidden,fw-default-drop-input-last,/ip/firewall/filter add chain=input action=drop place-before=0,n/a,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
gold,vlan-on-vlan-qinq,/interface/vlan add name=svlan vlan-id=200 interface=ether2 use-service-tag=yes,ok,ok,chr:inspect,path ok (interface/vlan verb=add)
gold,mangle-mark-connection,/ip/firewall/mangle add chain=prerouting src-address=192.168.88.0/24 action=mark-connection new-connection-mark=lan-conn,ok,ok,chr:inspect,path ok (ip/firewall/mangle verb=add)
gold,ipaddr-netmask-form,/ip/address add address=192.168.50.1/24 interface=bridge1,ok,ok,chr:inspect,path ok (ip/address verb=add)
gold,fw-filter-comment-not-name,"/ip/firewall/filter add chain=input connection-state=established,related action=accept comment=allow-est",ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
gold,ipv6-address-assign,/ipv6/address add address=2001:db8:0:1::1/64 interface=bridge1,ok,ok,chr:inspect,path ok (ipv6/address verb=add)
fixture:perfect,vlan-create-basic,/interface/vlan add name=vlan100 vlan-id=100 interface=ether2,ok,ok,chr:inspect,path ok (interface/vlan verb=add)
fixture:wrong_path,vlan-create-basic,/interface/vlans add name=vlan100 vlan-id=100 interface=ether2,error,error,chr:inspect,unknown path segment 'vlans' under '/interface'
fixture:wrong_target,vlan-create-basic,/interface/vlan add name=vlan100 vlan-id=999 interface=ether2,ok,ok,chr:inspect,path ok (interface/vlan verb=add)
fixture:missing_arg,vlan-create-basic,/interface/vlan add name=vlan100 interface=ether2,ok,ok,chr:inspect,path ok (interface/vlan verb=add)
fixture:hallucinated,vlan-create-basic,/interface/vlan add name=vlan100 vlan-id=100 interface=ether2 tag-mode=service,error,error,chr:inspect,unknown argument(s) ['tag-mode'] for /interface/vlan add
fixture:perfect,iface-disable,/interface set [find name=ether5] disabled=yes,ok,ok,chr:inspect,path ok (interface verb=set)
fixture:wrong_target,dhcp-static-lease,/ip/dhcp-server/lease add address=192.168.88.99 mac-address=AA:BB:CC:DD:EE:FF,ok,ok,chr:inspect,path ok (ip/dhcp-server/lease verb=add)
fixture:missing_arg,nat-dstnat-port-forward,/ip/firewall/nat add chain=dstnat protocol=tcp dst-port=8080 action=dst-nat to-ports=80,ok,ok,chr:inspect,path ok (ip/firewall/nat verb=add)
fixture:incomplete_seq,vlan-bridge-untagged-pvid,/interface/bridge/vlan add bridge=bridge1 untagged=ether4 vlan-ids=30,ok,ok,chr:inspect,path ok (interface/bridge/vlan verb=add)
fixture:unsafe,fw-default-drop-input-last,/ip/firewall/filter add chain=input action=drop place-before=0,ok,ok,chr:inspect,path ok (ip/firewall/filter verb=add)
fixture:hallucinated,route-default-gateway,/ip/route add dst-address=0.0.0.0/0 gateway=192.168.1.1 metric=1,error,error,chr:inspect,unknown argument(s) ['metric'] for /ip/route add
fixture:perfect,dns-set-servers,"/ip/dns set servers=1.1.1.1,8.8.8.8 allow-remote-requests=yes",ok,ok,chr:inspect,path ok (ip/dns verb=set)
