model,approach,task,n_rep,n_real,n_perfect,n_syntax_ok,n_cited,modal_label,agreement,labels
claude-haiku-4-5-20251001,skills-context,route-unreachable,3,3,0,0,0,trap-fell,1.0,trap-fell|trap-fell|trap-fell
claude-haiku-4-5-20251001,skills-context,vlan-bridge-untagged-pvid,3,3,1,2,0,hallucinated,0.33,hallucinated|perfect|incomplete_seq
claude-haiku-4-5-20251001,skills-context,vlan-create-basic,3,3,3,3,0,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,skills-context,wg-add-peer,3,3,1,1,0,empty,0.67,perfect|empty|empty
claude-haiku-4-5-20251001,vendordoc-steer,dhcp-server-on-bridge,3,3,0,3,3,missing_arg,1.0,missing_arg|missing_arg|missing_arg
claude-haiku-4-5-20251001,vendordoc-steer,fw-allow-established-related,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,vendordoc-steer,fw-filter-comment-not-name,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,vendordoc-steer,ipaddr-netmask-form,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,vendordoc-steer,ipv6-address-assign,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,vendordoc-steer,nat-dstnat-port-forward,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,vendordoc-steer,route-blackhole,3,3,0,3,3,hallucinated,1.0,hallucinated|hallucinated|hallucinated
claude-haiku-4-5-20251001,vendordoc-steer,route-unreachable,3,3,0,1,2,trap-fell,0.33,trap-fell|trap-avoided|hallucinated
claude-haiku-4-5-20251001,vendordoc-steer,vlan-bridge-untagged-pvid,3,3,0,3,3,hallucinated,1.0,hallucinated|hallucinated|hallucinated
claude-haiku-4-5-20251001,vendordoc-steer,vlan-create-basic,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
claude-haiku-4-5-20251001,vendordoc-steer,wg-add-peer,3,3,3,3,3,perfect,1.0,perfect|perfect|perfect
