approach,task,model,rep,label,syntax_valid,n_cmds,n_gold,exit_code,cost_usd,num_turns,cited_source,prompt_hash
baseline,route-blackhole,claude-haiku-4-5-20251001,2,hallucinated,error,1,1,0,0.0140215,1,,538946ff048b
rosetta-context,route-blackhole,claude-haiku-4-5-20251001,0,wrong_path,ok,1,1,0,0.018392500000000003,1,,5992c6833954
rosetta-context,route-blackhole,claude-haiku-4-5-20251001,1,wrong_path,ok,1,1,0,0.018232500000000002,1,,5992c6833954
rosetta-context,route-blackhole,claude-haiku-4-5-20251001,2,wrong_path,ok,1,1,0,0.0179015,1,,5992c6833954
skills-context,route-blackhole,claude-haiku-4-5-20251001,0,hallucinated,error,1,1,0,0.0211205,1,,049c46a189ed
skills-context,route-blackhole,claude-haiku-4-5-20251001,1,hallucinated,error,1,1,0,0.0223805,1,,049c46a189ed
skills-context,route-blackhole,claude-haiku-4-5-20251001,2,hallucinated,error,1,1,0,0.0216855,1,,049c46a189ed
vendordoc-steer,route-blackhole,claude-haiku-4-5-20251001,0,hallucinated,ok,1,1,0,0.058527,5,https://manual.mikrotik.com/docs/cli-reference/ip/route.md,0fca83add862
vendordoc-steer,route-blackhole,claude-haiku-4-5-20251001,1,hallucinated,ok,1,1,0,0.0592353,5,https://manual.mikrotik.com/docs/cli-reference/ip/route.md,0fca83add862
vendordoc-steer,route-blackhole,claude-haiku-4-5-20251001,2,hallucinated,ok,1,1,0,0.05632960000000001,4,https://manual.mikrotik.com/docs/cli-reference/ip/route.md,0fca83add862
baseline,fw-allow-established-related,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0132705,1,,797d414cd716
baseline,fw-allow-established-related,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0131355,1,,797d414cd716
baseline,fw-allow-established-related,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0130155,1,,797d414cd716
rosetta-context,fw-allow-established-related,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0174645,1,,f4d56af90f98
rosetta-context,fw-allow-established-related,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0172735,1,,f4d56af90f98
rosetta-context,fw-allow-established-related,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0184925,1,,f4d56af90f98
skills-context,fw-allow-established-related,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0206415,1,,9ca9a88aa497
skills-context,fw-allow-established-related,claude-haiku-4-5-20251001,1,hallucinated,ok,1,1,0,0.0210925,1,,9ca9a88aa497
skills-context,fw-allow-established-related,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0204565,1,,9ca9a88aa497
vendordoc-steer,fw-allow-established-related,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0642977,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/filter.md,2ccf8f6a819c
vendordoc-steer,fw-allow-established-related,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.061520000000000005,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/filter.md,2ccf8f6a819c
vendordoc-steer,fw-allow-established-related,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0608938,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/filter.md,2ccf8f6a819c
baseline,wg-add-peer,claude-haiku-4-5-20251001,0,empty,n/a,0,1,0,0.0151085,1,,2384af95eb5b
baseline,wg-add-peer,claude-haiku-4-5-20251001,1,empty,n/a,0,1,0,0.0165475,1,,2384af95eb5b
baseline,wg-add-peer,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.014502500000000002,1,,2384af95eb5b
rosetta-context,wg-add-peer,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.021992499999999998,1,,3e43d257dbc0
rosetta-context,wg-add-peer,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0192995,1,,3e43d257dbc0
rosetta-context,wg-add-peer,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.019678499999999998,1,,3e43d257dbc0
skills-context,wg-add-peer,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0226855,1,,f475b38b5182
skills-context,wg-add-peer,claude-haiku-4-5-20251001,1,empty,n/a,0,1,0,0.022595499999999998,1,,f475b38b5182
skills-context,wg-add-peer,claude-haiku-4-5-20251001,2,empty,n/a,0,1,0,0.0210455,1,,f475b38b5182
vendordoc-steer,wg-add-peer,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0753123,7,http://manual.mikrotik.com/docs/virtual-private-networks/wireguard/,856417db0dfe
vendordoc-steer,wg-add-peer,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.059963800000000005,5,https://manual.mikrotik.com/docs/cli-reference/interface/wireguard.md,856417db0dfe
vendordoc-steer,wg-add-peer,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0599712,5,https://manual.mikrotik.com/docs/cli-reference/interface/wireguard.md,856417db0dfe
baseline,ipaddr-netmask-form,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0131125,1,,577599ae890d
baseline,ipaddr-netmask-form,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.013275499999999999,1,,577599ae890d
baseline,ipaddr-netmask-form,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0129295,1,,577599ae890d
rosetta-context,ipaddr-netmask-form,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.017236500000000002,1,,60dcb89b65d1
rosetta-context,ipaddr-netmask-form,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0151725,1,,60dcb89b65d1
rosetta-context,ipaddr-netmask-form,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.017452500000000003,1,,60dcb89b65d1
skills-context,ipaddr-netmask-form,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.017028500000000002,1,,25efabee250c
skills-context,ipaddr-netmask-form,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0169925,1,,25efabee250c
skills-context,ipaddr-netmask-form,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0171065,1,,25efabee250c
vendordoc-steer,ipaddr-netmask-form,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.059665699999999995,5,https://manual.mikrotik.com/docs/cli-reference/ip/address.md,387ace8a7436
vendordoc-steer,ipaddr-netmask-form,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.058504,5,https://manual.mikrotik.com/docs/cli-reference/ip/address.md,387ace8a7436
vendordoc-steer,ipaddr-netmask-form,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.08462779999999999,8,https://manual.mikrotik.com/docs/getting-started/manual-network-setup.md,387ace8a7436
baseline,fw-filter-comment-not-name,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0148595,1,,9a156682f012
baseline,fw-filter-comment-not-name,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0131145,1,,9a156682f012
baseline,fw-filter-comment-not-name,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0129805,1,,9a156682f012
rosetta-context,fw-filter-comment-not-name,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0176685,1,,bd8122582180
rosetta-context,fw-filter-comment-not-name,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0175065,1,,bd8122582180
rosetta-context,fw-filter-comment-not-name,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0177225,1,,bd8122582180
skills-context,fw-filter-comment-not-name,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0204765,1,,52643b7e79ed
skills-context,fw-filter-comment-not-name,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0207535,1,,52643b7e79ed
skills-context,fw-filter-comment-not-name,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0206245,1,,52643b7e79ed
vendordoc-steer,fw-filter-comment-not-name,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0616047,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/filter.md,7196d243c77f
vendordoc-steer,fw-filter-comment-not-name,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.07514640000000002,7,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/filter.md,7196d243c77f
vendordoc-steer,fw-filter-comment-not-name,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.060848400000000004,5,https://manual.mikrotik.com/docs/firewall-and-quality-of-service/firewall/filter.md,7196d243c77f
baseline,ipv6-address-assign,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0129335,1,,7c765be6ccba
baseline,ipv6-address-assign,claude-haiku-4-5-20251001,1,wrong_path,error,1,1,0,0.013382499999999999,1,,7c765be6ccba
baseline,ipv6-address-assign,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0130645,1,,7c765be6ccba
rosetta-context,ipv6-address-assign,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.017746500000000002,1,,3429f326898e
rosetta-context,ipv6-address-assign,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0173095,1,,3429f326898e
rosetta-context,ipv6-address-assign,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0176815,1,,3429f326898e
skills-context,ipv6-address-assign,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.0173495,1,,619f57f74e26
skills-context,ipv6-address-assign,claude-haiku-4-5-20251001,1,wrong_path,ok,1,1,0,0.0171195,1,,619f57f74e26
skills-context,ipv6-address-assign,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0167245,1,,619f57f74e26
vendordoc-steer,ipv6-address-assign,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.06189119999999999,5,https://manual.mikrotik.com/docs/cli-reference/ipv6/address.md,8e3b0bb37de8
vendordoc-steer,ipv6-address-assign,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.057321300000000006,4,https://manual.mikrotik.com/docs/cli-reference/ipv6/address.md,8e3b0bb37de8
vendordoc-steer,ipv6-address-assign,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.060906999999999996,4,https://manual.mikrotik.com/docs/getting-started/networking-fundamentals/ipv6-addresses.md,8e3b0bb37de8
baseline,route-unreachable,claude-haiku-4-5-20251001,0,trap-fell,error,1,1,0,0.013513500000000001,1,,8113d5cb0229
baseline,route-unreachable,claude-haiku-4-5-20251001,1,trap-fell,error,1,1,0,0.013665499999999999,1,,8113d5cb0229
baseline,route-unreachable,claude-haiku-4-5-20251001,2,trap-fell,error,1,1,0,0.0134835,1,,8113d5cb0229
rosetta-context,route-unreachable,claude-haiku-4-5-20251001,0,trap-fell,error,1,1,0,0.0174885,1,,61fa097075bc
rosetta-context,route-unreachable,claude-haiku-4-5-20251001,1,trap-fell,error,1,1,0,0.017981499999999997,1,,61fa097075bc
rosetta-context,route-unreachable,claude-haiku-4-5-20251001,2,trap-fell,error,1,1,0,0.0179175,1,,61fa097075bc
skills-context,route-unreachable,claude-haiku-4-5-20251001,0,trap-fell,error,1,1,0,0.0187505,1,,68d76179102e
skills-context,route-unreachable,claude-haiku-4-5-20251001,1,trap-fell,error,1,1,0,0.0182255,1,,68d76179102e
skills-context,route-unreachable,claude-haiku-4-5-20251001,2,trap-fell,error,1,1,0,0.0174045,1,,68d76179102e
vendordoc-steer,route-unreachable,claude-haiku-4-5-20251001,0,trap-fell,error,1,1,0,0.06254810000000001,4,https://manual.mikrotik.com/docs/user-guides/routing-and-networking-protocols/routing-decision.md,3f9a1fe4ed3a
vendordoc-steer,route-unreachable,claude-haiku-4-5-20251001,1,trap-avoided,n/a,0,1,0,0.07714209999999999,9,,3f9a1fe4ed3a
vendordoc-steer,route-unreachable,claude-haiku-4-5-20251001,2,hallucinated,ok,1,1,0,0.0585973,5,https://manual.mikrotik.com/docs/cli-reference/ip/route.md,3f9a1fe4ed3a
baseline,dhcp-server-on-bridge,claude-haiku-4-5-20251001,0,missing_arg,ok,1,1,0,0.0135295,1,,034a9c0ae029
baseline,dhcp-server-on-bridge,claude-haiku-4-5-20251001,1,missing_arg,ok,1,1,0,0.0139355,1,,034a9c0ae029
baseline,dhcp-server-on-bridge,claude-haiku-4-5-20251001,2,missing_arg,ok,1,1,0,0.014024499999999999,1,,034a9c0ae029
rosetta-context,dhcp-server-on-bridge,claude-haiku-4-5-20251001,0,perfect,ok,1,1,0,0.015096499999999999,1,,43d13b399541
rosetta-context,dhcp-server-on-bridge,claude-haiku-4-5-20251001,1,perfect,ok,1,1,0,0.0171825,1,,43d13b399541
rosetta-context,dhcp-server-on-bridge,claude-haiku-4-5-20251001,2,perfect,ok,1,1,0,0.0171145,1,,43d13b399541
skills-context,dhcp-server-on-bridge,claude-haiku-4-5-20251001,0,missing_arg,ok,1,1,0,0.0177895,1,,7182324147e9
skills-context,dhcp-server-on-bridge,claude-haiku-4-5-20251001,1,missing_arg,ok,1,1,0,0.0174465,1,,7182324147e9
skills-context,dhcp-server-on-bridge,claude-haiku-4-5-20251001,2,missing_arg,ok,1,1,0,0.0175745,1,,7182324147e9
vendordoc-steer,dhcp-server-on-bridge,claude-haiku-4-5-20251001,0,missing_arg,ok,1,1,0,0.06024839999999999,4,https://manual.mikrotik.com/docs/cli-reference/ip/dhcp-server.md,571e987f9140
vendordoc-steer,dhcp-server-on-bridge,claude-haiku-4-5-20251001,1,missing_arg,ok,1,1,0,0.0607239,5,https://manual.mikrotik.com/docs/cli-reference/ip/dhcp-server.md,571e987f9140
vendordoc-steer,dhcp-server-on-bridge,claude-haiku-4-5-20251001,2,missing_arg,ok,1,1,0,0.0615408,5,https://manual.mikrotik.com/docs/cli-reference/ip/dhcp-server.md,571e987f9140
